"Area";"ConvexArea";"Eccentricity";"Extent";"MajorAxisLength";"MinorAxisLength";"Perimeter";"z_log_transformed_Area";"z_log_transformed_ConvexArea";"z_log_transformed_Eccentricity";"z_log_transformed_Extent";"z_log_transformed_MajorAxisLength";"z_log_transformed_MinorAxisLength";"z_log_transformed_Perimeter";"z_transformed_Area";"z_transformed_ConvexArea";"z_transformed_Eccentricity";"z_transformed_Extent";"z_transformed_MajorAxisLength";"z_transformed_MinorAxisLength";"z_transformed_Perimeter";"Class";"k"
87524;90546;0,819738392;0,758650579;442,2460114;253,291155;1184,04;0,553751565464195;0,584906557687678;0,0937088170409556;0,0756917737863978;0,294713439484858;0,162836551891966;0,246439999952277;1,40879661558248;1,33037001249957;0,539171780466467;1,0743030485303;1,46069951805158;0,802977274153322;1,30525814476949;"Kecimen";"3"
75166;78789;0,801805234;0,68412957;406,690687;243,0324363;1121,786;0,401537525051481;0,445821942034277;0,0715892898307408;-0,0277021978747986;0,210900039074642;0,121491831710893;0,192429738348614;0,732886135599678;0,743105894172826;0,348880813553628;-0,542238636999238;0,88989034085386;0,505542161995223;0,913748668921141;"Kecimen";"9"
90856;93717;0,798353619;0,637612812;442,2670483;266,3283177;1208,575;0,591114359585136;0,619328151707188;0,0672751927061719;-0,0981183060053394;0,294761006673999;0,213026739317951;0,266949659918533;1,59103757037312;1,48876199338025;0,312255298083298;-1,5513001002262;1,46103724681042;1,18096891846051;1,45955642263017;"Kecimen";"5"
79408;81463;0,56401133;0,792771926;352,1907699;290,8275329;1073,251;0,456437642840875;0,479197478256335;-0,280202098220015;0,119686043805633;0,0670201141003863;0,301027335588524;0,148200040148796;0,964898779723894;0,876672641847039;-2,17437983680918;1,81447794057878;0,0149425415533672;1,89128441047194;0,60851667723708;"Kecimen";"9"
49242;51368;0,777351277;0,658456354;318,125407;200,12212;881,836;-0,0214145581285798;0,0180639593149561;0,0406159039862798;-0,0659512893372234;-0,0347072079583572;-0,0727753052299747;-0,0482415010302697;-0,685005374602156;-0,626577646580577;0,0893968385406919;-1,09915304841849;-0,531946626131764;-0,738573708091942;-0,595274024075466;"Kecimen";"10"
42492;43904;0,823098681;0,665893562;310,1460715;176,1314494;823,796;-0,168845653086443;-0,138946019073371;0,0977996593300974;-0,0547196864308426;-0,0601094897464529;-0,200472497578411;-0,11632467226207;-1,05419098229628;-0,99940569618429;0,574828224407718;-0,93782194303915;-0,660047775768289;-1,43414476421798;-0,960282055338325;"Kecimen";"1"
64380;66125;0,784055626;0,664375716;366,9648423;227,7716147;981,544;0,246641549866453;0,270595439001672;0,0492035311952976;-0,0570017005821054;0,108113171284366;0,0566403515778617;0,0588792433497547;0,142954881586525;0,110536973998467;0,160537518488481;-0,970747709398733;0,252127161657792;0,0630790906351778;0,0317800900037403;"Kecimen";"6"
80437;84460;0,856042518;0,674235757;449,4545811;232,3255064;1176,305;0,469312793326601;0,515326598329008;0,137043607300167;-0,0422696897977141;0,310881931013763;0,0764363477085013;0,239885849868902;1,02117907458571;1,02637329359708;0,924399370580019;-0,756859471552538;1,5764267068388;0,19511188421839;1,25661346658516;"Kecimen";"9"
43725;45021;0,784258452;0,697068248;301,3222176;186,9506295;818,873;-0,140241455099543;-0,113822403594828;0,0494621860195779;-0,00896620462913172;-0,088972692085548;-0,140858516809742;-0,122318594030951;-0,986753077957484;-0,943611359179019;0,162689730366337;-0,261567285076936;-0,801706918790253;-1,12045997173974;-0,991242333386345;"Kecimen";"6"
43441;45133;0,683882337;0,690855598;276,6108288;201,8131355;803,748;-0,146757780385665;-0,111337764918371;-0,0874905572735251;-0,0179187008510518;-0,174541306494693;-0,0643608879616169;-0,140961811491991;-1,00228622056269;-0,938016940428266;-0,902413693040986;-0,396334753169124;-1,19842633413444;-0,689545423019306;-1,08636201761878;"Kecimen";"5"
